ISBN,Book-Title,Book-Author
080410526X,All I Really Need to Know,ROBERT FULGHUM
0671027387,Deception Point,Dan Brown
1573225789,The Color of Water: A Black Man's Tribute to His White Mother,James McBride
0451526341,Animal Farm,George Orwell
0440241537,The King of Torts,JOHN GRISHAM
0345387651,The Cider House Rules,John Irving
0446611212,Violets Are Blue,James Patterson
0345438329,Big Stone Gap: A Novel (Ballantine Reader's Circle),Adriana Trigiani
0312980140,Seven Up (A Stephanie Plum Novel),Janet Evanovich
0553272535,Night,Elie Wiesel
0066214122,Prey: A Novel,Michael Crichton
0312995423,Digital Fortress : A Thriller,Dan Brown
0399144463,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson
0446612790,2nd Chance,James Patterson
067102423X,Bag of Bones,Stephen King
0446670251,The Virgin Suicides,Jeffrey Eugenides
034538475X,The Tale of the Body Thief (Vampire Chronicles (Paperback)),Anne Rice
0385498802,Bee Season: A Novel,Myla Goldberg
0679745203,The English Patient,Michael Ondaatje
0440236703,Tell No One,Harlan Coben
0446610399,The Rescue,Nicholas Sparks
0385335881,Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella
0446532231,"Dude, Where's My Country?",Michael Moore
051513287X,Face the Fire (Three Sisters Island Trilogy),Nora Roberts
0380730138,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay
0553250426,The Clan of the Cave Bear (Earth's Children (Paperback)),Jean M. Auel
0385508042,The King of Torts,John Grisham
0425175405,Black Notice,Patricia Daniels Cornwell
0743227441,The Other Boleyn Girl,Philippa Gregory
0345380371,Rising Sun,MICHAEL CRICHTON
0142001430,Year of Wonders,Geraldine Brooks
0441003257,Good Omens,Neil Gaiman
0451166892,The Pillars of the Earth,Ken Follett
0070212570,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg
0842329218,Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2),Tim LaHaye
0099771519,Memoirs of a Geisha Uk,Arthur Golden
0446605484,Roses Are Red (Alex Cross Novels),James Patterson
0312971346,High Five (A Stephanie Plum Novel),Janet Evanovich
0425180638,The Last Precinct,Patricia Cornwell
080411109X,The Hundred Secret Senses,Amy Tan
0671004530,On the Street Where You Live,Mary Higgins Clark
0345350499,The Mists of Avalon,MARION ZIMMER BRADLEY
0553280341,B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),Sue Grafton
0061097101,The Saving Graces: A Novel,Patricia Gaffney
0375702709,A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines
0440180295,Slaughterhouse Five or the Children's Crusade: A Duty Dance With Death,Kurt Vonnegut
0345339711,"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN
014025448X,At Home in Mitford (The Mitford Years),Jan Karon
0671038184,Jewel,Bret Lott
0316781266,The Last Time They Met : A Novel,Anita Shreve
0446601241,Kiss the Girls,James Patterson
0440498058,A Wrinkle In Time,MADELEINE L'ENGLE
0449003795,P Is for Peril,Sue Grafton
038550120X,A Painted House,JOHN GRISHAM
0425147622,The Body Farm,Patricia Daniels Cornwell
0451184963,Insomnia,Stephen King
0446679593,Suzanne's Diary for Nicholas,James Patterson
014029628X,Girl in Hyacinth Blue,Susan Vreeland
0345413350,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN
0440211263,Circle of Friends,Maeve Binchy
0380718340,Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell
0316969443,Suzanne's Diary for Nicholas,James Patterson
0345402871,Airframe,Michael Crichton
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison
0345391055,Disclosure,Michael Crichton
0316969680,The Beach House,James Patterson
0312976275,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich
0871136791,Cold Mountain,Charles Frazier
0141000198,Bridget Jones's Diary,Helen Fielding
0060175400,The Poisonwood Bible,Barbara Kingsolver
0061015725,Prey,Michael Crichton
0441569595,Neuromancer (Remembering Tomorrow),William Gibson
0553296981,Anne Frank: The Diary of a Young Girl,ANNE FRANK
0440998050,A Wrinkle in Time,Madeleine L'Engle
0684848783,Tis : A Memoir,Frank McCourt
0446606189,Cat &amp; Mouse (Alex Cross Novels),James Patterson
002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner
0345339738,"The Return of the King (The Lord of the Rings, Part 3)",J.R.R. TOLKIEN
031242227X,Running with Scissors: A Memoir,Augusten Burroughs
0440414806,Holes (Yearling Newbery),LOUIS SACHAR
0515132020,Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts
0553268880,The Prince of Tides,Pat Conroy
0441172717,Dune (Remembering Tomorrow),Frank Herbert
0553277472,Zen and the Art of Motorcycle Maintenance: An Inquiry into Values,ROBERT PIRSIG
0451156609,The Tommyknockers,Stephen King
0060391626,I Know This Much Is True (Oprah's Book Club),Wally Lamb
0671024248,Hearts In Atlantis,Stephen King
0553260111,The Bourne Identity,Robert Ludlum
039592720X,Interpreter of Maladies,Jhumpa Lahiri
0345348036,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN
0385511612,Bleachers,John Grisham
067088300X,The Girls' Guide to Hunting and Fishing,Melissa Bank
0767900383,Under the Tuscan Sun,Frances Mayes
0449907481,A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY
0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer
0380018179,The Thorn Birds,Colleen McCullough
0425162443,The Rapture of Canaan,Sheri Reynolds
0446604666,Sick Puppy,Carl Hiaasen
0375703055,Ellen Foster,Kaye Gibbons
0312243022,The Hours : A Novel,Michael Cunningham
0441790348,Stranger in a Strange Land (Remembering Tomorrow),Robert A. Heinlein
0312421273,The Corrections: A Novel,Jonathan Franzen
0425163407,Unnatural Exposure,Patricia Daniels Cornwell
0749397543,,
0553582747,From the Corner of His Eye,Dean Koontz
0446608815,Pop Goes the Weasel,James Patterson
044651862X,The Celestine Prophecy (Celestine Prophecy),James Redfield
0345391802,The Hitchhiker's Guide to the Galaxy,Douglas Adams
0061097314,The Bean Trees,Barbara Kingsolver
0330332775,Bridget Jones's Diary,Helen Fielding
0385479565,The Hot Zone,Richard Preston
0425182908,Isle of Dogs,Patricia Cornwell
0425167313,Here on Earth,Alice Hoffman
0743436210,Hearts in Atlantis,Stephen King
0451169530,The Stand: Complete and Uncut,Stephen King
0451172817,Needful Things,Stephen King
0440215625,Dragonfly in Amber,DIANA GABALDON
0312983867,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich
1558745157,The Lost Boy: A Foster Child's Search for the Love of a Family,Dave Pelzer
0345378482,The Andromeda Strain,MICHAEL CRICHTON
0786885688,Shopgirl,Steve Martin
0553250531,The Valley of Horses,JEAN M. AUEL
0446611085,Suzanne's Diary for Nicholas,James Patterson
0425169863,Point of Origin,Patricia Daniels Cornwell
0345413903,The Murder Book,Jonathan Kellerman
0142004235,East of Eden (Oprah's Book Club),John Steinbeck
0802130208,A Confederacy of Dunces (Evergreen Book),John Kennedy Toole
0552124753,,
0671727796,The Color Purple,Alice Walker
0743225406,The Shipping News : A Novel,Annie Proulx
0767905385,Catch Me If You Can: The True Story of a Real Fake,Stan Redding
0060929871,Brave New World,Aldous Huxley
0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER
0451176464,Gerald's Game,Stephen King
0446604801,Jack &amp; Jill (Alex Cross Novels),James Patterson
0064400557,Charlotte's Web (Trophy Newbery),E. B. White
0553279378,I Know Why the Caged Bird Sings,MAYA ANGELOU
0142001805,The Eyre Affair: A Novel,Jasper Fforde
0451167317,The Dark Half,Stephen King
0452283205,Falling Angels,Tracy Chevalier
0385336179,Shopaholic Ties the Knot,Sophie Kinsella
0312990456,One for the Money (A Stephanie Plum Novel),Janet Evanovich
0671004107,Contact,Carl Sagan
0316777730,Naked,David Sedaris
0375705856,Plainsong (Vintage Contemporaries),KENT HARUF
0679731148,A Year in Provence,Peter Mayle
0060921145,Animal Dreams,Barbara Kingsolver
0060958022,Five Quarters of the Orange,Joanne Harris
038549081X,The Handmaid's Tale : A Novel,Margaret Atwood
0804111359,Secret History,DONNA TARTT
0449003787,"\O\"" Is for Outlaw""",SUE GRAFTON
1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield
0140244824,Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris
0440235162,The Smoke Jumper,Nicholas Evans
0553273914,The House of the Spirits,Isabel Allende
0786867647,Lucky Man: A Memoir,Michael J. Fox
0316899984,"River, Cross My Heart",Breena Clarke
0515128554,Heart of the Sea (Irish Trilogy),Nora Roberts
038572179X,Atonement : A Novel,IAN MCEWAN
0671014196,The Summerhouse,Jude Deveraux
0553580221,False Memory,Dean R. Koontz
0446531332,Nights in Rodanthe,Nicholas Sparks
0451203771,Scarlet Feather,Maeve Binchy
0316789089,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve
0671027344,The Perks of Being a Wallflower,Stephen Chbosky
0525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken
042516098X,Hornet's Nest,Patricia Daniels Cornwell
089480829X,What to Expect When You're Expecting (Revised Edition),Arlene Eisenberg
0679751521,Midnight in the Garden of Good and Evil,John Berendt
0452269571,Bastard Out of Carolina,Dorothy Allison
0375703861,White Teeth: A Novel,Zadie Smith
0345435168,Open House (Oprah's Book Club (Paperback)),Elizabeth Berg
0380977788,Coraline,Neil Gaiman
0385510438,The Last Juror,John Grisham
0812511816,"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan
0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell
0425158616,Cause of Death,Patricia Daniels Cornwell
0515126772,Jewels of the Sun (Irish Trilogy),Nora Roberts
0670892963,Bridget Jones : The Edge of Reason,Helen Fielding
0553574574,Beach Music,Pat Conroy
0446609404,Cradle and All,James Patterson
0743418204,In Her Shoes : A Novel,Jennifer Weiner
0671042262,The Blue Nowhere : A Novel,Jeffery Deaver
0345465083,Seabiscuit,LAURA HILLENBRAND
0316780375,The Weight of Water : A Novel Tag: Author of Resistance and Strange Fits of Passion,Anita Shreve
0670894605,The Secret Life of Bees,Sue Monk Kidd
0553579754,Fear Nothing,DEAN KOONTZ
0679734775,The House on Mango Street (Vintage Contemporaries),SANDRA CISNEROS
1878424319,The Four Agreements: A Practical Guide to Personal Freedom,Don Miguel Ruiz
0385420161,"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel
038550926X,The Devil Wears Prada : A Novel,LAUREN WEISBERGER
0515135062,Three Fates,Nora Roberts
0385730586,Sisterhood of the Traveling Pants,ANN BRASHARES
0374129983,The Corrections,Jonathan Franzen
0515130389,Carolina Moon,Nora Roberts
0385497466,The Brethren,JOHN GRISHAM
0380813815,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore
0515128546,Tears of the Moon (Irish Trilogy),Nora Roberts
0399149155,Q Is for Quarry,Sue Grafton
0451183665,A Case of Need,Michael Crichton
0060199652,Prodigal Summer,Barbara Kingsolver
0380710218,Postmortem,Patricia Daniels Cornwell
0140119906,Love in the Time of Cholera (Penguin Great Books of the 20th Century),Gabriel Garcia Marquez
0515132187,The Villa,Nora Roberts
0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King
0385720955,The Blind Assassin,Margaret Atwood
0449219364,G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback)),Sue Grafton
080411868X,"Welcome to the World, Baby Girl!",Fannie Flagg
034541389X,Flesh and Blood,Jonathan Kellerman
0451177096,Dolores Claiborne,Stephen King
0316781142,The Last Time They Met : A Novel,Anita Shreve
0553271636,D Is for Deadbeat (Kinsey Millhone Mysteries (Paperback)),Sue Grafton
0425182878,Chosen Prey,John Sandford
034536676X,The World According to Garp,John Irving
0060173289,Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells
0425143325,Without Remorse,Tom Clancy
0842329242,Nicolae: The Rise of Antichrist (Left Behind No. 3),Tim F. Lahaye
014023313X,The Stone Diaries,Carol Shields
0316693200,2nd Chance,James Patterson
0743412028,Pay It Forward,Catherine Ryan Hyde
0316693006,Four Blind Mice,James Patterson
0385474016,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel
0671617028,The Color Purple,Alice Walker
0316666009,1st to Die: A Novel,James Patterson
0743211375,From a Buick 8 : A Novel,Stephen King
0679444815,Timeline,Michael Crichton
0312422156,Middlesex: A Novel,Jeffrey Eugenides
0743203631,Gap Creek: The Story Of A Marriage,Robert Morgan
0399150897,Blow Fly: A Scarpetta Novel,Patricia Cornwell
0671004573,Before I Say Good-Bye,Mary Higgins Clark
0451160525,"The Gunslinger (The Dark Tower, Book 1)",Stephen King
0446359866,Presumed Innocent,Scott Turow
0451191145,Atlas Shrugged,Ayn Rand
140003065X,A Fine Balance,Rohinton Mistry
0385472951,The Partner,John Grisham
0394820371,The Phantom Tollbooth,Norton Juster
0609610597,"The Shelters of Stone (Earth's Children Series, No 5)",JEAN M. AUEL
006016848X,"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships",John Gray
0345424719,A Widow for One Year,JOHN IRVING
0385490992,The Street Lawyer,John Grisham
038542017X,"Like Water for Chocolate : A Novel in Monthly Installments with Recipes, Romances, and Home Remedies",LAURA ESQUIVEL
0312265867,To the Nines: A Stephanie Plum Novel,Janet Evanovich
0380012863,Jonathan Livingston Seagull,Richard Bach
0671793489,All Around the Town,Mary Higgins Clark
0446394521,Daisy Fay and the Miracle Man,Fannie Flagg
0743211383,Dreamcatcher,Stephen King
0440224624,The Loop,Nicholas Evans
0688177751,Miss Julia Speaks Her Mind : A Novel,Ann B. Ross
0064472272,"Angus, Thongs and Full-Frontal Snogging: Confessions of Georgia Nicolson",Louise Rennison
0316777722,Me Talk Pretty One Day,David Sedaris
0553274295,Where the Red Fern Grows,Wilson Rawls
0440221595,The Glass Lake,Maeve Binchy
0671693816,Wifey,Judy Blume
0312306326,Visions of Sugar Plums,Janet Evanovich
1592400876,"Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss
0553275976,The Bonfire of the Vanities,Tom Wolfe
0345369947,The Mummy or Ramses the Damned,Anne Rice
1573229571,About a Boy (Movie Tie-In),Nick Hornby
0452284449,The Virgin Blue,Tracy Chevalier
055356451X,Night Sins,TAMI HOAG
0375502238,Blessings,ANNA QUINDLEN
0446520802,The Notebook,Nicholas Sparks
0671011367,Deja Dead,Kathy Reichs
0385424728,The Chamber,John Grisham
0345436911,The Dress Lodger (Ballantine Reader's Circle),Sheri Holman
0375703063,A Virtuous Woman (Oprah's Book Club (Paperback)),Kaye Gibbons
0446607711,The Simple Truth,David Baldacci
0375412824,The Dive From Clausen's Pier (Alex Awards),ANN PACKER
0446606324,The Winner,David Baldacci
0671867156,Pretend You Don't See Her,Mary Higgins Clark
0679735771,American Psycho (Vintage Contemporaries),Bret Easton Ellis
0449221482,J Is for Judgment,Sue Grafton
0449221512,I Is for Innocent,Sue Grafton
0425192725,Q Is for Quarry,Sue Grafton
1559029838,Call of the Wild,Jack London
0553280368,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton
0385493800,The Testament,John Grisham
0375506039,Open House,Elizabeth Berg
0385721420,Three Junes,JULIA GLASS
0553279556,E Is for Evidence: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries (Paperback)),Sue Grafton
0385512104,The Curious Incident of the Dog in the Night-Time (Today Show Book Club #13),Mark Haddon
006099486X,"The Professor and the Madman: A Tale of Murder, Insanity, and the Making of The Oxford English Dictionary",Simon Winchester
080213825X,Four Blondes,Candace Bushnell
0553280414,A Separate Peace,John Knowles
1573227331,About a Boy,Nick Hornby
0440223202,Evening Class,Maeve Binchy
038529929X,Hannibal,Thomas Harris
0671758896,"Loves Music, Loves to Dance",Mary Higgins Clark
0451163966,One Flew Over the Cuckoo's Nest,Ken Kesey
0316693235,Violets Are Blue,James Patterson
0060096195,The Boy Next Door,Meggin Cabot
0553582135,Final Target,Iris Johansen
0684833395,Catch 22,Joseph Heller
0316602906,The Big Bad Wolf: A Novel,James Patterson
038082101X,Daughter of Fortune: A Novel,Isabel Allende
0552998486,Chocolat,Joanne Harris
0060922532,Pigs in Heaven,Barbara Kingsolver
0452260116,Song of Solomon (Oprah's Book Club (Paperback)),Toni Morrison
055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY
0670880728,Bridget Jones's Diary,Helen Fielding
0743206045,Daddy's Little Girl,Mary Higgins Clark
0552137030,,
043936213X,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling
0156628708,Mrs Dalloway,Virginia Woolf
0446670111,Einstein's Dreams,Alan Lightman
0345444884,The Talisman,STEPHEN KING
0060932759,Daughter of Fortune,Isabel Allende
0312265859,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich
0553208845,Siddhartha,Hermann Hesse
0316182540,White Oleander : A Novel,Janet Fitch
0553284789,F Is for Fugitive (Kinsey Millhone Mysteries (Paperback)),Sue Grafton
0553579606,Ashes to Ashes,TAMI HOAG
0515133973,Midnight Bayou,Nora Roberts
0553582127,The Search,Iris Johansen
0425172546,Southern Cross,Patricia Daniels Cornwell
0441304834,Guilty Pleasures (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton
0312980159,Fast Women,Jennifer Crusie
0375727132,The Dive From Clausen's Pier : A Novel (Vintage Contemporaries (Paperback)),ANN PACKER
0671708635,Seven Habits Of Highly Effective People,Stephen R. Covey
0449219461,H Is for Homicide (Kinsey Millhone Mysteries (Paperback)),Sue Grafton
1573225517,High Fidelity,Nick Hornby
0684865742,Tis: A Memoir,Frank McCourt
0451203895,4 Blondes,Candace Bushnell
0060916508,Their Eyes Were Watching God: A Novel,Zora Neale Hurston
014100018X,Chocolat,Joanne Harris
